id,customer_id,amount,order_ts,cleaned_amount
ord_0036,cust_0036,416.41,2025-01-02 12:00:00,416.41
ord_0037,cust_0037,313.07,2025-01-02 13:00:00,313.07
ord_0038,cust_0038,432.24,2025-01-02 14:00:00,432.24
ord_0039,cust_0039,292.9,2025-01-02 15:00:00,292.9
ord_0040,cust_0040,355.24,2025-01-02 16:00:00,355.24
ord_0041,cust_0041,32.45,2025-01-02 17:00:00,32.45
ord_0042,cust_0042,121.67,2025-01-02 18:00:00,121.67
ord_0043,,151.8,2025-01-02 19:00:00,151.8
ord_0044,cust_0044,49.1,2025-01-02 20:00:00,49.1
ord_0045,cust_0045,124.07,2025-01-02 21:00:00,124.07
ord_0046,cust_0046,59.49,2025-01-02 22:00:00,59.49
ord_0047,cust_0047,146.21,2025-01-02 23:00:00,146.21
ord_0048,cust_0048,321.49,2025-01-03 00:00:00,321.49
ord_0049,cust_0049,188.77,2025-01-03 01:00:00,188.77
ord_0050,cust_0000,191.39,2025-01-03 02:00:00,191.39
ord_0051,cust_0001,112.66,2025-01-03 03:00:00,112.66
ord_0052,cust_0002,140.82,2025-01-03 04:00:00,140.82
ord_0053,cust_0003,468.96,2025-01-03 05:00:00,468.96
ord_0054,cust_0004,327.54,2025-01-03 06:00:00,327.54
ord_0055,cust_0005,308.47,2025-01-03 07:00:00,308.47
ord_0056,cust_0006,93.86,2025-01-03 08:00:00,93.86
ord_0057,cust_0007,367.27,2025-01-03 09:00:00,367.27
ord_0058,cust_0008,90.07,2025-01-03 10:00:00,90.07
ord_0059,cust_0009,195.93,2025-01-03 11:00:00,195.93
ord_0060,cust_0010,494.87,2025-01-03 12:00:00,494.87
ord_0061,cust_0011,323.6,2025-01-03 13:00:00,323.6
ord_0062,cust_0012,282.91,2025-01-03 14:00:00,282.91
ord_0063,cust_0013,345.46,2025-01-03 15:00:00,345.46
ord_0064,cust_0014,423.0,2025-01-03 16:00:00,423.0
ord_0065,cust_0015,390.24,2025-01-03 17:00:00,390.24
ord_0066,cust_0016,122.23,2025-01-03 18:00:00,122.23
ord_0067,cust_0017,25.73,2025-01-03 19:00:00,25.73
ord_0068,,164.57,2025-01-03 20:00:00,164.57
ord_0069,cust_0019,141.19,2025-01-03 21:00:00,141.19
ord_0070,cust_0020,113.38,2025-01-03 22:00:00,113.38
ord_0071,cust_0021,472.03,2025-01-03 23:00:00,472.03
ord_0072,cust_0022,439.42,2025-01-04 00:00:00,439.42
ord_0073,cust_0023,164.19,2025-01-04 01:00:00,164.19
ord_0074,cust_0024,331.16,2025-01-04 02:00:00,331.16
ord_0075,cust_0025,203.86,2025-01-04 03:00:00,203.86
ord_0076,cust_0026,458.13,2025-01-04 04:00:00,458.13
ord_0077,cust_0027,234.84,2025-01-04 05:00:00,234.84
ord_0078,cust_0028,139.79,2025-01-04 06:00:00,139.79
ord_0079,cust_0029,130.85,2025-01-04 07:00:00,130.85
ord_0080,cust_0030,285.07,2025-01-04 08:00:00,285.07
ord_0081,cust_0031,138.74,2025-01-04 09:00:00,138.74
ord_0082,,296.45,2025-01-04 10:00:00,296.45
ord_0083,cust_0033,449.93,2025-01-04 11:00:00,449.93
ord_0084,cust_0034,205.71,2025-01-04 12:00:00,205.71
ord_0085,cust_0035,117.47,2025-01-04 13:00:00,117.47
ord_0086,cust_0036,498.79,2025-01-04 14:00:00,498.79
ord_0087,,259.67,2025-01-04 15:00:00,259.67
ord_0088,cust_0038,54.55,2025-01-04 16:00:00,54.55
ord_0089,cust_0039,33.09,2025-01-04 17:00:00,33.09
ord_0090,cust_0040,63.73,2025-01-04 18:00:00,63.73
ord_0091,cust_0041,317.45,2025-01-04 19:00:00,317.45
ord_0092,,398.12,2025-01-04 20:00:00,398.12
ord_0093,cust_0043,216.86,2025-01-04 21:00:00,216.86
ord_0094,cust_0044,41.13,2025-01-04 22:00:00,41.13
ord_0095,cust_0045,196.99,2025-01-04 23:00:00,196.99
ord_0096,,498.1,2025-01-05 00:00:00,498.1
ord_0097,cust_0047,269.27,2025-01-05 01:00:00,269.27
ord_0098,,485.83,2025-01-05 02:00:00,485.83
ord_0099,cust_0049,431.78,2025-01-05 03:00:00,431.78
