id,customer_id,order_ts,amount,tax
ord_0069,cust_0019,2025-01-03 21:00:00,141.19,11.3
ord_0070,cust_0020,2025-01-03 22:00:00,113.38,9.07
ord_0071,cust_0021,2025-01-03 23:00:00,472.03,37.76
ord_0072,cust_0022,2025-01-04 00:00:00,439.42,35.15
ord_0073,cust_0023,2025-01-04 01:00:00,164.19,13.14
ord_0074,cust_0024,2025-01-04 02:00:00,331.16,26.49
ord_0075,cust_0025,2025-01-04 03:00:00,203.86,16.31
ord_0076,cust_0026,2025-01-04 04:00:00,458.13,36.65
ord_0077,cust_0027,2025-01-04 05:00:00,234.84,18.79
ord_0078,cust_0028,2025-01-04 06:00:00,139.79,11.18
ord_0079,cust_0029,2025-01-04 07:00:00,130.85,10.47
ord_0080,cust_0030,2025-01-04 08:00:00,285.07,22.81
ord_0081,cust_0031,2025-01-04 09:00:00,138.74,11.1
ord_0082,,2025-01-04 10:00:00,296.45,23.72
ord_0083,cust_0033,2025-01-04 11:00:00,449.93,35.99
ord_0084,cust_0034,2025-01-04 12:00:00,205.71,16.46
ord_0085,cust_0035,2025-01-04 13:00:00,117.47,9.4
ord_0086,cust_0036,2025-01-04 14:00:00,498.79,39.9
ord_0087,,2025-01-04 15:00:00,259.67,20.77
ord_0088,cust_0038,2025-01-04 16:00:00,54.55,4.36
ord_0089,cust_0039,2025-01-04 17:00:00,33.09,2.65
ord_0090,cust_0040,2025-01-04 18:00:00,63.73,5.1
ord_0091,cust_0041,2025-01-04 19:00:00,317.45,25.4
ord_0092,,2025-01-04 20:00:00,398.12,31.85
ord_0093,cust_0043,2025-01-04 21:00:00,216.86,17.35
ord_0094,cust_0044,2025-01-04 22:00:00,41.13,3.29
ord_0095,cust_0045,2025-01-04 23:00:00,196.99,15.76
ord_0096,,2025-01-05 00:00:00,498.1,39.85
ord_0097,cust_0047,2025-01-05 01:00:00,269.27,21.54
ord_0098,,2025-01-05 02:00:00,485.83,38.87
ord_0099,cust_0049,2025-01-05 03:00:00,431.78,34.54
ord_orphan_000,cust_0000,2025-06-01 00:00:00,99.99,8.0
ord_orphan_001,cust_0001,2025-06-01 00:00:00,99.99,8.0
ord_orphan_002,cust_0002,2025-06-01 00:00:00,99.99,8.0
